id,item_group_id,title,description,availability,quantity_to_sell_on_facebook,inventory,condition,price,sale_price,link,image_link,additional_image_link,brand,product_type,google_product_category
50673077125252,10027444273284,The Hand Wash 15.2 fl oz (450mL),"A daily hand etiquette, cleans fully and leaves only a light, neutral freshness.",in stock,170,170,new,45.00 USD,,https://hinok.us/products/the-hand-wash-450ml?variant=50673077125252,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Wash_7c82bf46-1324-49a3-87f4-5c16de3c5d73.png?v=1783581783,"https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Wash_1.png?v=1783579663,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Wash_2.png?v=1783579663,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Wash_3.png?v=1783579664,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Wash_4.png?v=1783579663,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Wash_5.png?v=1783579663",Hinok,,Health & Beauty > Personal Care > Cosmetics > Skin Care
50673077158020,10027444306052,The Hand Wash Refill 30.4 fl oz (900mL),A large-format refill of the hinok hand wash. Gently formulated for frequent washing and lightly scented with Jeju-grown cypress. One pouch refills the 450 mL bottle twice.,in stock,168,168,new,75.00 USD,,https://hinok.us/products/the-hand-wash-900ml-refill?variant=50673077158020,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/TheHandWashRefill.png?v=1783582062,"https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Wash_Refill_1.png?v=1783600371,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Wash_Refill_2.png?v=1783600371",Hinok,,Health & Beauty > Personal Care > Cosmetics > Skin Care
50673077223556,10027444371588,The Hand Balm 1.2 fl oz (35mL),"Jeju Hinoki Cypress water bound with shea butter and plant derived glycerin. It gives dry, working hands deep moisture, absorbs fast, and leaves no greasy film.",in stock,115,115,new,27.00 USD,,https://hinok.us/products/the-hand-balm-35ml?variant=50673077223556,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Balm_acc7bc19-9751-439a-878b-3b5d8572dc97.png?v=1783581811,"https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Balm_1.png?v=1783579924,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Balm_2.png?v=1783579923,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Balm_3.png?v=1783579924,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Balm_4.png?v=1783579924,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Balm_5.png?v=1783579924,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Balm_6.png?v=1783579924",Hinok,,Health & Beauty > Personal Care > Cosmetics > Skin Care
50673081450628,10027447320708,The Spray To Go 3.4 fl oz (100mL),"A travel size deodorizing spray of Jeju-grown hinoki water. It neutralizes odor on clothes, bags, and car interiors, with no artificial fragrance and a light forest scent that fades on its own.",out of stock,0,0,new,20.00 USD,,https://hinok.us/products/the-spray-to-go-100ml?variant=50673081450628,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_To_Go_59f74deb-1c1d-48bd-82a7-fef284947b73.png?v=1783581980,"https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_To_Go_1.png?v=1783584272,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_To_Go_2.png?v=1783584272,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_To_Go_3.png?v=1783584272,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_To_Go_4.png?v=1783584272,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_To_Go_5.png?v=1783584271",Hinok,,Health & Beauty > Personal Care > Cosmetics > Skin Care
51711033081988,10027480121476,The Spray Set - 15.2 fl.oz. (450 mL),"Cypress water distilled in Jeju that removes odor from fabrics and rooms. Alcohol free, no artificial fragrance, and a light forest scent that fades on its own.",in stock,1,1,new,40.00 USD,,https://hinok.us/products/the-spray-set?variant=51711033081988,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_5374e0d5-45fd-42d2-a12d-401bd458224f.png?v=1783581742,"https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_1_6f12674c-b491-4044-a5a7-57cb99dfec39.png?v=1783577914,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_2_cc43ef9f-c984-4cbb-96db-6ea41f0479bb.png?v=1783577915,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_3_3e34a37b-6988-48b1-a806-e2d67feda1bc.png?v=1783577914,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_4_8cbe54c2-ecc6-4c9e-b9bc-531e9fd49873.png?v=1783577914,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_5_4d453b86-3933-4b3b-ac5d-cb122b33e42e.png?v=1783577914,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_6_8b652634-8708-48d1-bff8-9344d55578ec.png?v=1783577914,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_7_b4a8218f-3566-46de-8d82-1fbb94f57cc7.png?v=1783577914",Hinok,,Health & Beauty > Personal Care > Cosmetics > Skin Care
51556562141316,10027480121476,The Spray Set - 30.4 fl.oz. (900 mL),"Cypress water distilled in Jeju that removes odor from fabrics and rooms. Alcohol free, no artificial fragrance, and a light forest scent that fades on its own.",out of stock,0,0,new,60.00 USD,,https://hinok.us/products/the-spray-set?variant=51556562141316,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_5374e0d5-45fd-42d2-a12d-401bd458224f.png?v=1783581742,"https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_1_6f12674c-b491-4044-a5a7-57cb99dfec39.png?v=1783577914,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_2_cc43ef9f-c984-4cbb-96db-6ea41f0479bb.png?v=1783577915,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_3_3e34a37b-6988-48b1-a806-e2d67feda1bc.png?v=1783577914,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_4_8cbe54c2-ecc6-4c9e-b9bc-531e9fd49873.png?v=1783577914,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_5_4d453b86-3933-4b3b-ac5d-cb122b33e42e.png?v=1783577914,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_6_8b652634-8708-48d1-bff8-9344d55578ec.png?v=1783577914,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_7_b4a8218f-3566-46de-8d82-1fbb94f57cc7.png?v=1783577914",Hinok,,Health & Beauty > Personal Care > Cosmetics > Skin Care
50673282089092,10027480776836,The Spray Refill - 15.2 fl.oz. (450 mL),"The cypress water from The Spray, in a refill pouch for the bottle you already have. It removes odor from fabrics and rooms. Alcohol free, no artificial fragrance, and a light forest scent that fades on its own.",in stock,1,1,new,30.00 USD,,https://hinok.us/products/the-spray-refill?variant=50673282089092,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/TheSprayRefill_fada699d-bb9f-4dbf-b00e-794abd8e89d8.png?v=1783582036,"https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Refill_1.png?v=1783584357,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Refill_2.png?v=1783584357",Hinok,,Health & Beauty > Personal Care > Cosmetics > Skin Care
50673282121860,10027480776836,The Spray Refill - 30.4 fl.oz. (900 mL),"The cypress water from The Spray, in a refill pouch for the bottle you already have. It removes odor from fabrics and rooms. Alcohol free, no artificial fragrance, and a light forest scent that fades on its own.",out of stock,0,0,new,50.00 USD,,https://hinok.us/products/the-spray-refill?variant=50673282121860,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/TheSprayRefill_fada699d-bb9f-4dbf-b00e-794abd8e89d8.png?v=1783582036,"https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Refill_1.png?v=1783584357,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Refill_2.png?v=1783584357",Hinok,,Health & Beauty > Personal Care > Cosmetics > Skin Care
51536032268420,10027484479620,The Spray Gift Set - 15.2 fl.oz. (450 mL),"The Spray eliminates odors from fabrics, clothing, and shared spaces — using only upcycled Jeju cypress water, no synthetic fragrance. This set includes the full Spray Set with a reusable linen pouch and hinok gift bag.",out of stock,0,0,new,50.00 USD,,https://hinok.us/products/the-spray-gift-set?variant=51536032268420,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Gift_Set_69a473bb-f5a9-4a89-9c9b-30801ab26007.png?v=1783680369,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Gift_Set_1.png?v=1783600424,Hinok,,Health & Beauty > Personal Care > Cosmetics > Skin Care
51536032301188,10027484479620,The Spray Gift Set - 30.4 fl.oz. (900 mL),"The Spray eliminates odors from fabrics, clothing, and shared spaces — using only upcycled Jeju cypress water, no synthetic fragrance. This set includes the full Spray Set with a reusable linen pouch and hinok gift bag.",out of stock,0,0,new,70.00 USD,,https://hinok.us/products/the-spray-gift-set?variant=51536032301188,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Gift_Set_69a473bb-f5a9-4a89-9c9b-30801ab26007.png?v=1783680369,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Gift_Set_1.png?v=1783600424,Hinok,,Health & Beauty > Personal Care > Cosmetics > Skin Care
